FeatureCode,DateCode,Measurement,Units,Value,Indices of Deprivation
E08000011,2019,Scale,,36950,b. Income Deprivation Domain
E08000011,2019,Rank of proportion of LSOAs in most deprived 10% nationally,,3,a. Index of Multiple Deprivation (IMD)
E08000011,2019,Average Rank,,22007.28,h. Living Environment Deprivation Domain
E08000011,2019,Average Score,,18.365,g. Barriers to Housing and Services Domain
E08000012,2019,Rank of average rank,,43,"d. Education, Skills and Training Domain"
E08000012,2019,Rank of extent,,1,a. Index of Multiple Deprivation (IMD)
E08000012,2019,Rank of average score,,5,c. Employment Deprivation Domain
E08000012,2019,Proportion of Lower-layer Super Output Areas (LSOAs) in most deprived 10% nationally,,0.2483,"d. Education, Skills and Training Domain"
E08000012,2019,Rank of average rank,,7,b. Income Deprivation Domain
E08000012,2019,Rank of average score,,29,"d. Education, Skills and Training Domain"
E08000012,2019,Rank of average rank,,11,j. Income Deprivation Affecting Older People Index (IDAOPI)
E08000012,2019,Rank of scale,,2,c. Employment Deprivation Domain
E08000012,2019,Proportion of Lower-layer Super Output Areas (LSOAs) in most deprived 10% nationally,,0.4799,c. Employment Deprivation Domain
E08000012,2019,Average Rank,,23832.69,c. Employment Deprivation Domain
E08000012,2019,Rank of proportion of LSOAs in most deprived 10% nationally,,3,c. Employment Deprivation Domain
E08000011,2019,Average Score,,0.303,i. Income Deprivation Affecting Children Index (IDACI)
E08000011,2019,Scale,,17294,c. Employment Deprivation Domain
E08000012,2019,Average Score,,0.235,b. Income Deprivation Domain
E08000011,2019,Rank of average rank,,10,j. Income Deprivation Affecting Older People Index (IDAOPI)
E08000011,2019,Average Rank,,19403.49,f. Crime Domain
E08000011,2019,Average Rank,,26493.5,c. Employment Deprivation Domain
E08000012,2019,Rank of average rank,,8,i. Income Deprivation Affecting Children Index (IDACI)
E08000012,2019,Rank of average score,,3,a. Index of Multiple Deprivation (IMD)
E08000012,2019,Average Score,,0.3,j. Income Deprivation Affecting Older People Index (IDAOPI)
E08000012,2019,Average Rank,,25012.19,j. Income Deprivation Affecting Older People Index (IDAOPI)
E08000012,2019,Scale,,112497,b. Income Deprivation Domain
E08000013,2019,Average Score,,31.518,a. Index of Multiple Deprivation (IMD)
E08000013,2019,Scale,,32195,b. Income Deprivation Domain
E08000013,2019,Average Rank,,15140.36,h. Living Environment Deprivation Domain
E08000013,2019,Rank of average score,,87,f. Crime Domain
E08000013,2019,Average Rank,,20917.03,b. Income Deprivation Domain
E08000013,2019,Rank of average rank,,40,a. Index of Multiple Deprivation (IMD)
E08000013,2019,Proportion of Lower-layer Super Output Areas (LSOAs) in most deprived 10% nationally,,0.0000,g. Barriers to Housing and Services Domain
E08000013,2019,Average Rank,,18932.66,f. Crime Domain
E08000013,2019,Average Score,,0.201,f. Crime Domain
E08000013,2019,Proportion of Lower-layer Super Output Areas (LSOAs) in most deprived 10% nationally,,0.2437,a. Index of Multiple Deprivation (IMD)
E08000013,2019,Rank of average score,,73,j. Income Deprivation Affecting Older People Index (IDAOPI)
E08000013,2019,Rank of average score,,301,g. Barriers to Housing and Services Domain
E08000013,2019,Proportion of Lower-layer Super Output Areas (LSOAs) in most deprived 10% nationally,,0.1176,j. Income Deprivation Affecting Older People Index (IDAOPI)
E08000013,2019,Rank of average score,,26,a. Index of Multiple Deprivation (IMD)
E08000013,2019,Average Score,,12.704,g. Barriers to Housing and Services Domain
E08000013,2019,Rank of average score,,34,b. Income Deprivation Domain
E08000013,2019,Proportion of Lower-layer Super Output Areas (LSOAs) in most deprived 10% nationally,,0.2269,b. Income Deprivation Domain
E08000013,2019,Rank of proportion of LSOAs in most deprived 10% nationally,,83,f. Crime Domain
E08000013,2019,Proportion of Lower-layer Super Output Areas (LSOAs) in most deprived 10% nationally,,0.2521,i. Income Deprivation Affecting Children Index (IDACI)
E08000013,2019,Rank of average rank,,47,b. Income Deprivation Domain
E08000013,2019,Rank of proportion of LSOAs in most deprived 10% nationally,,169,h. Living Environment Deprivation Domain
E08000013,2019,Rank of proportion of LSOAs in most deprived 10% nationally,,63,j. Income Deprivation Affecting Older People Index (IDAOPI)
E08000014,2019,Rank of proportion of LSOAs in most deprived 10% nationally,,43,j. Income Deprivation Affecting Older People Index (IDAOPI)
E08000014,2019,Rank of average score,,58,a. Index of Multiple Deprivation (IMD)
E08000014,2019,Scale,,22135,c. Employment Deprivation Domain
E08000014,2019,Rank of average score,,29,c. Employment Deprivation Domain
E08000014,2019,Average Rank,,19467.65,b. Income Deprivation Domain
E08000014,2019,Rank of average rank,,89,a. Index of Multiple Deprivation (IMD)
E08000014,2019,Proportion of Lower-layer Super Output Areas (LSOAs) in most deprived 10% nationally,,0.164,j. Income Deprivation Affecting Older People Index (IDAOPI)
E08000014,2019,Average Rank,,15965.4,"d. Education, Skills and Training Domain"
E08000014,2019,Average Rank,,24439.42,e. Health Deprivation and Disability Domain
E08000014,2019,Average Score,,0.188,i. Income Deprivation Affecting Children Index (IDACI)
E08000014,2019,Proportion of Lower-layer Super Output Areas (LSOAs) in most deprived 10% nationally,,0.291,e. Health Deprivation and Disability Domain
E08000013,2019,Rank of average rank,,94,"d. Education, Skills and Training Domain"
E08000013,2019,Average Rank,,27484.34,e. Health Deprivation and Disability Domain
E08000013,2019,Average Score,,27.804,"d. Education, Skills and Training Domain"
E08000013,2019,Rank of average score,,9,c. Employment Deprivation Domain
E08000013,2019,Average Score,,0.165,c. Employment Deprivation Domain
E08000013,2019,Rank of average rank,,54,i. Income Deprivation Affecting Children Index (IDACI)
E08000014,2019,Rank of proportion of LSOAs in most deprived 10% nationally,,43,a. Index of Multiple Deprivation (IMD)
E08000014,2019,Rank of proportion of LSOAs in most deprived 10% nationally,,50,i. Income Deprivation Affecting Children Index (IDACI)
E08000014,2019,Rank of average score,,88,h. Living Environment Deprivation Domain
E08000013,2019,Rank of average score,,8,e. Health Deprivation and Disability Domain
E08000013,2019,Average Rank,,21257.24,i. Income Deprivation Affecting Children Index (IDACI)
E08000013,2019,Average Rank,,24226.92,c. Employment Deprivation Domain
E08000013,2019,Rank of average rank,,80,j. Income Deprivation Affecting Older People Index (IDAOPI)
E08000013,2019,Proportion of Lower-layer Super Output Areas (LSOAs) in most deprived 10% nationally,,0.4202,e. Health Deprivation and Disability Domain
E08000013,2019,Rank of average rank,,86,f. Crime Domain
E08000013,2019,Rank of proportion of LSOAs in most deprived 10% nationally,,32,b. Income Deprivation Domain
E08000013,2019,Rank of scale,,58,c. Employment Deprivation Domain
E08000013,2019,Average Rank,,21635.55,a. Index of Multiple Deprivation (IMD)
E08000013,2019,Proportion of Lower-layer Super Output Areas (LSOAs) in most deprived 10% nationally,,0.0336,h. Living Environment Deprivation Domain
E08000013,2019,Rank of proportion of LSOAs in most deprived 10% nationally,,20,i. Income Deprivation Affecting Children Index (IDACI)
E08000013,2019,Rank of proportion of LSOAs in most deprived 10% nationally,,28,a. Index of Multiple Deprivation (IMD)
E08000013,2019,Proportion of Lower-layer Super Output Areas (LSOAs) in most deprived 10% nationally,,0.2941,c. Employment Deprivation Domain
E08000012,2019,Rank of average rank,,8,h. Living Environment Deprivation Domain
E08000012,2019,Rank of average score,,5,h. Living Environment Deprivation Domain
E08000012,2019,Proportion of Lower-layer Super Output Areas (LSOAs) in most deprived 10% nationally,,0.4597,h. Living Environment Deprivation Domain
E08000012,2019,Average Rank,,26659.61,h. Living Environment Deprivation Domain
E08000012,2019,Rank of average rank,,278,g. Barriers to Housing and Services Domain
E08000012,2019,Average Rank,,10181.27,g. Barriers to Housing and Services Domain
E08000013,2019,Rank of average score,,33,i. Income Deprivation Affecting Children Index (IDACI)
E08000013,2019,Rank of average score,,169,h. Living Environment Deprivation Domain
E08000013,2019,Average Score,,1.069,e. Health Deprivation and Disability Domain
E08000013,2019,Average Score,,0.237,i. Income Deprivation Affecting Children Index (IDACI)
E08000013,2019,Rank of average rank,,302,g. Barriers to Housing and Services Domain
E08000013,2019,Average Score,,18.217,h. Living Environment Deprivation Domain
E08000013,2019,Average Rank,,7823.04,g. Barriers to Housing and Services Domain
E08000013,2019,Rank of average rank,,11,c. Employment Deprivation Domain
E08000013,2019,Rank of average rank,,10,e. Health Deprivation and Disability Domain
E08000013,2019,Proportion of Lower-layer Super Output Areas (LSOAs) in most deprived 10% nationally,,0.1597,"d. Education, Skills and Training Domain"
E08000013,2019,Rank of proportion of LSOAs in most deprived 10% nationally,,250,g. Barriers to Housing and Services Domain
E08000013,2019,Rank of proportion of LSOAs in most deprived 10% nationally,,19,c. Employment Deprivation Domain
E08000013,2019,Scale,,16585.5,c. Employment Deprivation Domain
E08000013,2019,Proportion of Lower-layer Super Output Areas (LSOAs) in most deprived 10% nationally,,0.1008,f. Crime Domain
E08000013,2019,Extent,,0.4011,a. Index of Multiple Deprivation (IMD)
E08000013,2019,Rank of scale,,71,b. Income Deprivation Domain
E08000013,2019,Rank of average score,,72,"d. Education, Skills and Training Domain"
E08000013,2019,Rank of average rank,,155,h. Living Environment Deprivation Domain
E08000013,2019,Average Rank,,17121.73,j. Income Deprivation Affecting Older People Index (IDAOPI)
E08000013,2019,Average Score,,0.182,b. Income Deprivation Domain
E08000013,2019, Local concentration,,32345.57,a. Index of Multiple Deprivation (IMD)
E08000013,2019,Average Rank,,19193.09,"d. Education, Skills and Training Domain"
E08000013,2019,Rank of proportion of LSOAs in most deprived 10% nationally,,67,"d. Education, Skills and Training Domain"
E08000013,2019,Rank of extent,,30,a. Index of Multiple Deprivation (IMD)
E08000013,2019,Rank of proportion of LSOAs in most deprived 10% nationally,,13,e. Health Deprivation and Disability Domain
E08000013,2019,Average Score,,0.168,j. Income Deprivation Affecting Older People Index (IDAOPI)
E08000013,2019,Rank of local concentration,,21,a. Index of Multiple Deprivation (IMD)
E09000032,2019,Scale,,33856,b. Income Deprivation Domain
E09000032,2019, Local concentration,,25999.84,a. Index of Multiple Deprivation (IMD)
E09000032,2019,Rank of average rank,,26,h. Living Environment Deprivation Domain
E09000032,2019,Average Rank,,6838.04,"d. Education, Skills and Training Domain"
E09000032,2019,Average Rank,,24522.77,h. Living Environment Deprivation Domain
E09000032,2019,Rank of average rank,,173,a. Index of Multiple Deprivation (IMD)
E09000032,2019,Average Score,,6.649,"d. Education, Skills and Training Domain"
E09000032,2019,Proportion of Lower-layer Super Output Areas (LSOAs) in most deprived 10% nationally,,0.095,g. Barriers to Housing and Services Domain
E09000032,2019,Rank of average score,,144,i. Income Deprivation Affecting Children Index (IDACI)
E09000032,2019,Rank of average score,,36,j. Income Deprivation Affecting Older People Index (IDAOPI)
E09000032,2019,Rank of proportion of LSOAs in most deprived 10% nationally,,152,f. Crime Domain
E09000032,2019,Average Score,,32.499,h. Living Environment Deprivation Domain
E09000032,2019,Rank of average score,,241,c. Employment Deprivation Domain
E09000032,2019,Average Score,,0.118,f. Crime Domain
E09000032,2019,Scale,,14180,c. Employment Deprivation Domain
E09000032,2019,Average Score,,0.154,i. Income Deprivation Affecting Children Index (IDACI)
E09000032,2019,Rank of proportion of LSOAs in most deprived 10% nationally,,122,g. Barriers to Housing and Services Domain
E09000032,2019,Rank of proportion of LSOAs in most deprived 10% nationally,,195,a. Index of Multiple Deprivation (IMD)
E09000032,2019,Proportion of Lower-layer Super Output Areas (LSOAs) in most deprived 10% nationally,,0.1173,j. Income Deprivation Affecting Older People Index (IDAOPI)
E09000032,2019,Average Score,,16.611,a. Index of Multiple Deprivation (IMD)
E09000032,2019,Rank of average rank,,101,f. Crime Domain
E09000032,2019,Rank of average score,,103,f. Crime Domain
E09000032,2019,Proportion of Lower-layer Super Output Areas (LSOAs) in most deprived 10% nationally,,0.0838,i. Income Deprivation Affecting Children Index (IDACI)
E09000032,2019,Proportion of Lower-layer Super Output Areas (LSOAs) in most deprived 10% nationally,,0.0000,a. Index of Multiple Deprivation (IMD)
E09000032,2019,Average Score,,0.107,b. Income Deprivation Domain
E09000032,2019,Rank of average score,,308,"d. Education, Skills and Training Domain"
E09000032,2019,Average Rank,,22221.17,g. Barriers to Housing and Services Domain
E09000032,2019,Rank of average score,,39,h. Living Environment Deprivation Domain
E09000032,2019,Average Rank,,14312.18,a. Index of Multiple Deprivation (IMD)
E09000032,2019,Rank of proportion of LSOAs in most deprived 10% nationally,,180,b. Income Deprivation Domain
E09000032,2019,Rank of proportion of LSOAs in most deprived 10% nationally,,107,i. Income Deprivation Affecting Children Index (IDACI)
E09000032,2019,Rank of proportion of LSOAs in most deprived 10% nationally,,173,e. Health Deprivation and Disability Domain
E09000032,2019,Proportion of Lower-layer Super Output Areas (LSOAs) in most deprived 10% nationally,,0.0000,"d. Education, Skills and Training Domain"
E09000032,2019,Average Score,,26.981,g. Barriers to Housing and Services Domain
E09000032,2019,Average Rank,,21792.54,j. Income Deprivation Affecting Older People Index (IDAOPI)
E09000032,2019,Rank of average score,,196,e. Health Deprivation and Disability Domain
E09000032,2019,Rank of average rank,,150,i. Income Deprivation Affecting Children Index (IDACI)
E09000032,2019,Proportion of Lower-layer Super Output Areas (LSOAs) in most deprived 10% nationally,,0.0838,h. Living Environment Deprivation Domain
E09000032,2019,Rank of average rank,,26,j. Income Deprivation Affecting Older People Index (IDAOPI)
E09000032,2019,Rank of local concentration,,198,a. Index of Multiple Deprivation (IMD)
E09000032,2019,Rank of proportion of LSOAs in most deprived 10% nationally,,65,j. Income Deprivation Affecting Older People Index (IDAOPI)
E09000032,2019,Rank of average score,,167,b. Income Deprivation Domain
